RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,TRS Wholesale Co Ltd recalls TRS Turmeric Powder as it may contain Salmonella,Recalled,"The product listed above may be contaminated with Salmonella. Symptoms caused by Salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-16-2018,2018-04-04
2,"Power Body Nutrition Ltd. recalls NOW Foods Vitamin A 25,000 IU from Fish Liver Oil",Recalled,Long term consumption of this product could result in liver and bone toxicity. It is a dose which can increase the risk of birth defects if consumed by pregnant women.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-15-2018,2018-04-04
3,AKM Foods Ltd recalls Zaiqa International Mini Fruit Jelly because of a choking hazard,Recalled,Choking hazard. The product can be projected from a cup or capsule in one piece by exerting pressure at the tip.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-17-2018,2018-04-10
4,Sweetland Ltd recalls sweet and cake products,Recalled,The products were produced in unhygienic conditions at a temporary manufacturing site and may be unfit for human consumption.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-18-2018,2018-04-12
5,Sainsbury???s recalls its Sliced Beetroot because it may contain small pieces of glass,Recalled,The product may contain small pieces of glass which could present a safety risk.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-19-2018,2018-04-12
6,Surya Foods recalls Mother Africa Palm Oil because it contains illegal dye Sudan IV,Recalled,The illegal dye Sudan IV is potentially genotoxic and possibly carcinogenic.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-20-2018,2018-04-13
7,"Dunnes Stores recalls Chicken, Bacon & Sweetcorn Deli Filler due to possible contamination with Listeria monocytogenes",Recalled,"The product listed above might be contaminated with Listeria monocytogenes. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-21-2018,2018-04-18
8,Manning Impex Ltd recalls Buenas Grated Coconut as it may contain salmonella,Recalled. ,"The product listed above may be contaminated with salmonella. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-22-2018,2018-04-19
9,Willowbrook Foods recalls salad products with bacon due to the possible presence of Listeria monocytogenes,Recalled,"The presence of Listeria monocytogenes in the products listed. The products listed above might be contaminated with Listeria monocytogenes. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea.Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-23-2018,2018-04-25
10,GB Poultry Ltd recalls Breaded Chicken Escalops because packs may contain small pieces of plastic,Recalled,Products may contain small pieces of plastic which could represent a safety risk.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-24-2018,2018-04-27
11,Sainsbury???s recalls a range of its pet food pouch selections due to high levels of Vitamin D,Recalled,"High levels of vitamin D fed to a pet over a short period (weeks/months) should not cause concern. Over a longer period of feeding with excessive levels of vitamin D, symptoms can vary, but may include lethargy, stiffness, vomiting, diarrhoea or excessive urination (polyuria).",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-25-2018,2018-04-28
12,Dunnes Stores recall Simply Better Yogurts as a precautionary measure due to the possible presence of rubber pieces,Recalled,Products may contain small pieces of rubber which could represent a safety risk. ??,https://www.food.gov.uk/news-alerts/alert/fsa-prin-26-2018,2018-05-02
13,Fabricake Sugarcraft Limited recalls Rolkem???s Special Rose Gold and Super Gold due to high levels of metal,Recalled,"High levels of copper. Due to the high concentration of copper, nausea, vomiting and/or abdominal pain are possible short-term effects from consumption of food items decorated with this product.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-27-2018,2018-05-11
14,Tees Ltd recalls Sweetworld Yummys Jelly Cones because of a choking hazard,Recalled,Choking Hazard. The product contains Carrageenan which can present a choking hazard.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-28-2018,2018-05-17
15,True Value Candys Ltd recalls Super Jelly Cone and Super Pudding Cone because of a choking hazard,Recalled,Choking Hazard. The product contains Carrageenan which can present a choking hazard.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-29-2018,2018-05-23
16,Apna distribution recalls ???hey I???m all yours??? Jelly Sweets because of a choking hazard,Recalled,Choking Hazard. The product can be projected from the cup or capsule in one piece by exerting pressure at the tip.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-30-2018,2018-05-25
17,AG Barr is recalling 750ml glass bottles due to a manufacturing fault which may cause bottle caps to pop off unexpectedly,Recalled,There is a risk that the bottle caps may pop off unexpectedly which may cause injury.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-31-2018,2018-05-26
18,Red Star Brands recalls Fulfil White Chocolate Bars because they may contain small pieces of clear plastic.,Recalled,"Product may contain small pieces of clear plastic, which makes it unsafe to eat.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-32-2018,2018-06-02
19,Addo Food Group recalls pastry products because they may contain small pieces of metal wire.,Recalled,Possible metal contamination,https://www.food.gov.uk/news-alerts/alert/fsa-prin-33-2018,2018-06-02
20,"Aldi, Asda, Tesco and Waitrose recall their own brand Soy / Soya Sauce because they may contain small glass fragments",Recalled,Products may contain small glass fragments which could represent a safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-34-2018,2018-06-27
