RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
25,Black Pudding - incorrect use by date on packaging. ,Recalled.,Consuming food after the intended use by date could potentially present a microbiological risk to health.,http://www.food.gov.uk/news-updates/news/2016/14780/the-real-lancashire-black-pudding-co-ltd-recalls-black-pudding-slices-due-to-a-labelling-error,2016-01-05
26,French cheese - presence high levels of Listeria monocytogenes. ,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14792/fromagerie-beillevaire-recalls-brie-de-meaux-la-truffe,2016-01-12
27,Sliced Wholemeal Bread - presence of small pieces of metal in product. ,Recalled.,Physical contamination - possible risk of metal fragments.,http://www.food.gov.uk/news-updates/news/2016/14810/sainsburys-recalls-wholemeal-bread,2016-01-18
28,Flavoured Ribs - incorrect storage instructions on the packaging. ,Recalled.,Food quality issued - presence of spoilage.,http://www.food.gov.uk/news-updates/news/2016/14811/iceland-recalls-its-iceland-jim-beam-bourbon-ribs-450g-due-to-incorrect-storage-instructions-on-the-packaging,2016-01-19
29,"Chicken tikka sandwiches, chicken tikka wraps and chicken tikka fillers and fillings - presence of Salmonella. ",Recalled.,Microbiological risk - presence of salmonella in the products listed.,http://www.food.gov.uk/news-updates/news/2016/14841/summit-foods-ltd-recalls-chicken-tikka-sandwiches-chicken-tikka-wraps-and-chicken-tikka-fillers-and-fillings,2016-01-29
30,Bottles of beer - bottle might break upon opening. ,Recalled.,Physical contamination - possible risk of glass fragments.,http://www.food.gov.uk/news-updates/news/2016/14846/asda-recalls-biere-de-luxe,2016-01-29
31,Chicken Tikka - presence of Salmonella in the Tikka powder used to manufacture this product. ,Recalled.,Microbiological risk - the potential presence of Salmonella in the products listed below. Salmonella is a bacterium that can cause food poisoning,http://www.food.gov.uk/news-updates/news/2016/14848/lytham-foods-recalls-chicken-tikka-sandwiches,2016-02-01
32,Branded Chips (crisps) products - possibly contain pieces of plastic. ,Recalled.,Physical contamination - possible risk of pieces of plastic.,http://www.food.gov.uk/news-updates/news/2016/14855/kettle-foods-ltd-recalls-kettle-chips-products-that-possibly-contain-pieces-of-plastic,2016-02-03
33,French cheese products - presence of Listeria monocytogenes.,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14856/sainsburys-recalls-camembert-products,2016-02-03
34,Sparkling Perry presence of small fragments of glass. ,Recalled.,Physical contamination - possible risk of glass fragments.,http://www.food.gov.uk/news-updates/news/2016/14857/aston-manor-cider-recalls-chardolini-sparkling-perry-75cl-containing-small-fragments-of-glass,2016-02-04
