RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
31,Pet Food: Two types of fish food products - possible presence of Salmonella in the product. *,Recalled,Microbiological risk - Due to the possible presence of Salmonella in the products there is a risk to consumers handling the products.,https://www.food.gov.uk/news-updates/news/2016/15291/aquarian-recalls-two-of-its-fish-food-products,2016-07-06
32,Canned pasta products - may contain pieces of rubber.,Recalled,Physical contamination - the products may contain pieces of rubber.,https://www.food.gov.uk/news-updates/news/2016/15304/sainsburys-and-tesco-recall-canned-pasta-products,2016-07-12
33," Infant dietary food supplement, unflavoured - increased levels of amino acids, minerals and fats.",Recalled,Toxicological risk - the product could be unsafe for some children with specific nutritional requirements.,https://www.food.gov.uk/news-updates/news/2016/15305/nutricia-recalls-paediatric-servait-unflavoured,2016-07-12
34,Filled Wraps - inadequate food safety control procedures in place.,Recalled,Microbiological risk - Manufacturing controls could potentially affect the safe production of foodstuffs.  ,https://www.food.gov.uk/news-updates/news/2016/15327/lytham-foods-recalls-freshbite-wraps,2016-07-20
35,Roast Chicken Flavour products - may contain pieces of plastic.,Recalled,Physical contamination - presence of pieces of plastic,https://www.food.gov.uk/news-updates/news/2016/15359/mattessons-recalls-roast-chicken-flavour-fridge-raiders,2016-07-27
36,Cake - possible presence of Salmonella.,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15361/wm-morrison-recalls-busy-bee-cake,2016-07-27
37,Two batches of vanilla and banana - liquid food supplement - insufficient sterilisation of some bottles.,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15360/abbott-nutrition-recalls-paediasure-plus-fibre,2016-07-27
38,Blue Cheese - possible presence of E.coli.,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15373/errington-cheese-company-recalls-dunsyre-blue-cheese,2016-07-29
39,Chilled yoghurt products - may contain pieces of rubber.,Recalled,Physical contamination - presence of pieces rubber,https://www.food.gov.uk/news-updates/news/2016/15375/yeo-valley-recalls-chilled-yoghurt-products,2016-07-31
40,Irish Yogurt - may contain pieces of rubber.,Recalled,Physical contamination - presence of pieces of rubber,https://www.food.gov.uk/news-updates/news/2016/15377/lidl-recalls-coolree-creamery-irish-yoghurt,2016-08-01
41,Sausage roll products - may contain pieces of plastic.,Recalled,Physical contamination - presence of pieces of plastic,https://www.food.gov.uk/news-updates/news/2016/15381/clayton-park-bakery-recalls-sausage-roll-products,2016-08-02
42,Chilled dessert products -  may contain small pieces of metal.,Recalled,Physical contamination - presence of small pieces of metal.,https://www.food.gov.uk/news-updates/news/2016/15386/bakkavor-recalls-chilled-desserts,2016-08-04
43,Various Indian 'ready meals' - incorrect shelf life labelling.,Recalled,Microbiological risk - consuming the product after its intended 'use by' date could potentially present a risk to health,https://www.food.gov.uk/news-updates/news/2016/15414/get-stuffed-recalls-delicious-indian-cuisine,2016-08-12
44,Morello Cherry Cordial - fermentation in the bottle,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15415/blossom-cottage-recalls-morello-cherry-cordial,2016-08-14
45,Ice cream 500ml - may contain small pieces of metal.,Recalled,Physical contamination - presence of small pieces of metal.,http://www.food.gov.uk/news-updates/news/2016/15456/unilever-recalls-ben-jerry-cookie-dough-500ml-ice-cream,2016-08-26
46,Red Lemonade - due to undesirable odours and flavours,Recalled,"This was a quality issue, and the product did not pose a risk to health.",https://www.food.gov.uk/news-updates/news/2016/15457/lidl-ireland-recalls-freeway-red-lemonade,2016-08-26
47,Sesame Seeds and Omega Mix - presence of Salmonella.,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15475/suma-recalls-sesame-organic-omega,2016-09-06
48,Sesame Seeds and Omega Seed Mix - presence of Salmonella.,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15481/abel-and-cole-recalls-sesame-omega-seeds,2016-09-07
49,Blue Cheese - presence of E. coli.,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15486/errington-cheese-recalls-dunsyre-blue-cheese,2016-09-08
50,All varieties of raw milk cheese products -  presence of E.coli O157**,Recalled,Microbiological risk - presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2016/15518/all-cheese-produced-by-errington-cheese-ltd-recalled,2016-09-15
51,Chickpeas ? may contain hard pieces of glue,Recalled,Physical contamination - presence of pieces of glue,https://www.food.gov.uk/northern-ireland/news-updates/news/2016/15510/gem-pack-foods-recalls-dunnes-stores-wholefoods-chickpeas,2016-09-15
52,Mini fruit flavoured sweets - may contain small pieces of wood.,Recalled,Physical contamination - presence of pieces of wood,https://www.food.gov.uk/news-updates/news/2016/15524/spar-uk-recalls-midget-gems,2016-09-20
53,Raw Honey - may contain small pieces of metal.,Recalled,Physical contamination - presence of pieces of metal,https://www.food.gov.uk/news-updates/news/2016/15549/hilltop-honey-recalling-raw-british-creamed-honey,2016-09-30
54,Pet Food: Feline Dried Cat Food products - high protein content*,Recalled,"A higher protein content than specified makes the food more difficult for cats to digest, potentially causing stomach disturbance and changing the balance of intestinal bacteria.",https://www.food.gov.uk/news-updates/news/2016/15550/bozita-recalls-five-feline-dried-cat-food-products,2016-09-30
