RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
18,Sparkling fruit soft drink - due to yeast.,Recalled,Yeast fermentation in some bottles may lead to pressure building up and cause the bottles to burst.?,https://www.food.gov.uk/news-updates/news/2016/15554/ag-barr-plc-recalls-rubicon-sparkling-mango-drink,2016-10-05
19,Canned Organic Sweetcorn - due to a manufacturing problem.,Recalled,Microbiological risk ? potential spoilage and presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15576/biona-recalls-its-organic-sweetcorn-in-cans-because-the-packaging-may-allow-for-microbiological-contamination,2016-10-11
20,Canned Organic Sweetcorn - due to a manufacturing problem.,Recalled,Microbiological risk ?potential spoilage and  presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15578/suma-recalls-canned-organic-sweetcorn,2016-10-12
21,Batches of Honey - may contain small pieces of metal.,Recalled,Physical contamination - presence of small pieces of metal.,https://www.food.gov.uk/news-updates/news/2016/15579/hilltop-honey-recalls-british-creamed-honey,2016-10-12
22,Batches of organic baby food - may contain metal wire.,Recalled,Physical contamination - presence of small pieces of metal.,https://www.food.gov.uk/news-updates/news/2016/15585/hipp-organic-recalls-hipp-organic-fruity-os-breakfast-cereal,2016-10-13
23,Two types of sparkling floral fruit ciders - due to possible breakage of the bottles.,Recalled,Physical contamination - possible risk of glass fragments and cause injury.,https://www.food.gov.uk/news-updates/news/2016/15604/kopparberg-recall,2016-10-18
24,Dried fish - due to chemical contamination.,Recalled,Chemical contamination - can cause a risk to health and the levels in this product exceed limits.,https://www.food.gov.uk/news-updates/news/2016/15606/milegate-ltd-recalls-mystry-dried-pangash-fish,2016-10-19
25,Fifteen varieties of p?t? in jars - due to manufacturing concerns.,Recalled,Microbiological risk - potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15627/patchwork-pate-recalling-fifteen-varieties-of-pate,2016-10-24
26,Frozen pet food - due to the presence of Salmonella.,Recalled,Microbiological risk - due to the presence of Salmonella in the product there is a risk to human health via cross-contamination.,https://www.food.gov.uk/news-updates/news/2016/15770/natures-menu-recalls-country-hunter-turkey,2016-11-24
27,Chilled dried salted fish - due to microbiological concerns.,Recalled,Microbiological risk ? potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15805/monolith-uk-recalling-chilled-dried-salted-common-roach,2016-12-09
28,Vegetable leaves in sunflower oil - due to microbiological concerns.,Recalled,Microbiological risk - presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15811/alivini-recalls-italcarciofi-friarielli,2016-12-09
29,Organic Miso products - due to the failure to comply with food hygiene regulations.,Recalled,Microbiological risk - potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15812/source-foods-recalling-organic-miso-products,2016-12-09
30,Salad spinach 200g pack - may contain small pieces of metal.,Recalled,Physical contamination - possible risk of metal fragments and cause injury.,https://www.food.gov.uk/news-updates/news/2016/15823/nisarecallsheritagefreshsaladspinach200g,2016-12-14
31,Gravy granules - due to chemical contamination.,Recalled,Chemical contamination - can cause a risk to health.,https://www.food.gov.uk/news-updates/news/2016/15836/lidl-uk-recalls-kania-gravy-granules,2016-12-17
32,Milk chocolate Santa - due to product tampering.,Recalled,Physical contamination ? choking hazard  due to the presence of small batteries.,https://www.food.gov.uk/news-updates/news/2016/15845/co-op-recalls-chocolate-santa,2016-12-23
33,Egg mayonnaise sandwich filler ? due to use-by labelling error.,Recalled,Microbiological risk - potential presence of harmful bacteria.,https://www.food.gov.uk/news-updates/news/2016/15849/spar-recalls-egg-mayonnaise-sandwich-filler,2016-12-23
34,"Pork product - due to extended use-by dates, inadequate temperature controls, labelling and traceability contraventions[3].",Recalled,Microbiological risk - consuming the product after its intended use by date could pose a risk of food poisoning.,https://www.food.gov.uk/news-updates/news/2016/15844/consumers-warned-about-pork-products-sold-by-nicholls-meats-ltd,2016-12-22
