DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
Montezuma's Chocolates recalls its ?Great British Puddings Truffle Collection? because it may contain small pieces of plastic,Recalled,The presence of pieces of plastic causes a potential choking hazard.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-52-2018,2018-10-01
The Raw Chocolate Company recalls its Chocolate Goji Berries because they may contain small pieces of metal,Recalled,The presence of small pieces of metal is a potential choking hazard.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-53-2018,2018-10-05
Dunnes Stores recalls its Slow Roasted Turkey Slices due to Incorrect ?Use By? Date,Recalled,Consuming the product after its intended use by date could pose a risk of food poisoning.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-54-2018,2018-10-18
CSM Bakery Solutions recalls its 18 Chocolate Cornflake Cluster Mini Bites due to the possible presence of salmonella,Recalled,"The product listed above might be contaminated with salmonella. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-55-2018,2018-10-25
Lidl recalls three varieties of its Warren & Sons P?t?s due to incorrect date labelling,Recalled,"The affected products have been labelled incorrectly or are missing a use-by date, and therefore could be inadvertently eaten past the date by which they can be safely consumed.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-56-2018,2018-11-15
The Raw Factory recalls various raw pet food products containing tripe and/or pork as they contain salmonella,Recalled,"The presence of salmonella in the products listed. Salmonella is a bacterium that can cause food poisoning in humans and animals. The product could therefore carry a potential risk, either through direct handling of the pet food, or indirectly for example from food bowls or utensils or contact with the faeces of infected animals. In humans, symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-57-2018,2018-11-16
Booths recalls their mince pies because they may contain pieces of white plastic,Recalled,The presence of plastic is a potential safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-58-2018,2018-11-16
Caffreys recalls its Confectionery Halloween Bloodie Mallows because it may contain salmonella,Recalled,"The product listed above might be contaminated with salmonella.. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-59-2018,2018-11-17
Update: EH Booths recalls their mince pies because they may contain pieces of white plastic,Recalled,The presence of plastic is a potential safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-58-2018-update-1,2018-11-19
UPDATE: Waitrose recalls an additional date code of Christmas Prawn products due to incorrect date labelling,Recalled,"The affected products have been labelled with incorrect use-by dates, and therefore could inadvertently be eaten past the date by which they can be safely consumed.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-60-2018-update-1,2018-11-21
Nisa Retail recalls Heritage British Skinless Chicken Breast Fillets because of incorrect date labelling,Recalled,"The affected products have been labelled with an incorrect use-by date, and therefore could inadvertently be eaten past the date by which it can be safely consumed.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-61-2018,2018-11-23
Lidl Ireland recalls Meadow Fresh Green Pesto due to the possible presence of Salmonella,Recalled,"The product listed above might be contaminated with Salmonella. Symptoms caused by Salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-62-2018,2018-11-24
Galmere Fresh Foods recalls Pestle and Mortar Fresh Pestos due to the possible presence of Salmonella,Recalled,"Salmonella. The products listed above might be contaminated with Salmonella. Symptoms caused by Salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-63-2018,2018-11-26
Premium Halal Meat Poultry recalls several chicken products as they have been produced without approval,Recalled,"Premium Halal Meat Poultry Limited does not have approval to produce ?Direct Poultry Products Ltd? chicken products, the products do not meet the food safety requirements and are therefore deemed unfit for human consumption.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-64-2018,2018-12-10
Natural Instinct recalls Wild Venison (Natural Cat Food) as some of the ingredients were not inspected in line with EU requirements,Recalled,Some of the ingredients were not inspected in line with EU requirements. The absence of inspection means the safety of the product cannot be confirmed and may therefore carry a potential risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-65-2018,2018-12-11
HEMA recalls hazelnut milk chocolate letters because they may contain pieces of plastic,Recalled,The presence of plastic makes this product unsafe to eat and presents a safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-66-2018,2018-12-14
Daylesford Organic recalls Organic Cottage Pies because of incorrect date labelling,Recalled,"The affected product has been labelled with incorrect use-by dates, and therefore could inadvertently be eaten past the date by which it can be safely consumed.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-67-2018,2018-12-17
Pieminister recalls Gluten Free Moo Pie because it may contain small pieces of plastic,Recalled,The presence of plastic makes this product unsafe to eat and presents a safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-68-2018,2018-12-19
Lactalis UK recalls Seriously Melting Pot because the glass pot may break when heated,Recalled,"Glass product packaging may break when heated, which could pose a safety risk.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-69-2018,2018-12-19
